id2,BG_ID,BG_NAME,Geography,Population,Pct_Poverty,Pct_UnEmpl,Pct_VacUnits
1.10E+11,A099072,"Block Group 2, Census Tract 99.07, District of Columbia, District of Columbia","Block Group 2, Census Tract 99.07, District of Columbia, District of Columbia",2366,38.79966188,29.002079,7.114228457
1.10E+11,A101001,"Block Group 1, Census Tract 101, District of Columbia, District of Columbia","Block Group 1, Census Tract 101, District of Columbia, District of Columbia",1856,14.70752089,4.383358098,12.94611617
1.10E+11,A101002,"Block Group 2, Census Tract 101, District of Columbia, District of Columbia","Block Group 2, Census Tract 101, District of Columbia, District of Columbia",791,14.79140329,7.221350078,1.261261261
1.10E+11,A102001,"Block Group 1, Census Tract 102, District of Columbia, District of Columbia","Block Group 1, Census Tract 102, District of Columbia, District of Columbia",1040,8.699902248,5.772230889,5.544933078
1.10E+11,A102002,"Block Group 2, Census Tract 102, District of Columbia, District of Columbia","Block Group 2, Census Tract 102, District of Columbia, District of Columbia",1512,4.166666667,5.631399317,16.66666667
1.10E+11,A103001,"Block Group 1, Census Tract 103, District of Columbia, District of Columbia","Block Group 1, Census Tract 103, District of Columbia, District of Columbia",823,6.270627063,0,7.446808511
1.10E+11,A103002,"Block Group 2, Census Tract 103, District of Columbia, District of Columbia","Block Group 2, Census Tract 103, District of Columbia, District of Columbia",1095,12.60273973,18.8034188,11.88118812
1.10E+11,A103003,"Block Group 3, Census Tract 103, District of Columbia, District of Columbia","Block Group 3, Census Tract 103, District of Columbia, District of Columbia",1347,33.33333333,14.72320377,2.777777778
1.10E+11,A104001,"Block Group 1, Census Tract 104, District of Columbia, District of Columbia","Block Group 1, Census Tract 104, District of Columbia, District of Columbia",1760,35.79545455,12.69633508,10.67669173
1.10E+11,A104002,"Block Group 2, Census Tract 104, District of Columbia, District of Columbia","Block Group 2, Census Tract 104, District of Columbia, District of Columbia",2966,24.69476172,31.10394843,16.57894737
1.10E+11,A105001,"Block Group 1, Census Tract 105, District of Columbia, District of Columbia","Block Group 1, Census Tract 105, District of Columbia, District of Columbia",1605,26.60436137,8.499475341,1.382978723
1.10E+11,A105002,"Block Group 2, Census Tract 105, District of Columbia, District of Columbia","Block Group 2, Census Tract 105, District of Columbia, District of Columbia",1915,9.608355091,8.684546616,5.933429812
1.10E+11,A106001,"Block Group 1, Census Tract 106, District of Columbia, District of Columbia","Block Group 1, Census Tract 106, District of Columbia, District of Columbia",994,30.68410463,10.54263566,7.928388747
1.10E+11,A106002,"Block Group 2, Census Tract 106, District of Columbia, District of Columbia","Block Group 2, Census Tract 106, District of Columbia, District of Columbia",4657,11.27335194,2.880658436,11.73797804
1.10E+11,A106003,"Block Group 3, Census Tract 106, District of Columbia, District of Columbia","Block Group 3, Census Tract 106, District of Columbia, District of Columbia",798,16.4160401,7.352941176,0
1.10E+11,A107001,"Block Group 1, Census Tract 107, District of Columbia, District of Columbia","Block Group 1, Census Tract 107, District of Columbia, District of Columbia",859,34.23545332,6.390328152,5.83501006
1.10E+11,A107002,"Block Group 2, Census Tract 107, District of Columbia, District of Columbia","Block Group 2, Census Tract 107, District of Columbia, District of Columbia",862,8.120649652,1.103448276,17.19160105
1.10E+11,A108001,"Block Group 1, Census Tract 108, District of Columbia, District of Columbia","Block Group 1, Census Tract 108, District of Columbia, District of Columbia",1521,38.75432526,10.12658228,27.090301
