OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,009204 2,41,A092042
ASSAULT W/DANGEROUS WEAPON,009301 1,10,A093011
ASSAULT W/DANGEROUS WEAPON,009301 2,21,A093012
ASSAULT W/DANGEROUS WEAPON,009301 3,10,A093013
ASSAULT W/DANGEROUS WEAPON,009301 4,7,A093014
ASSAULT W/DANGEROUS WEAPON,009302 1,35,A093021
ASSAULT W/DANGEROUS WEAPON,009400 1,9,A094001
ASSAULT W/DANGEROUS WEAPON,009400 2,27,A094002
ASSAULT W/DANGEROUS WEAPON,009400 3,10,A094003
ASSAULT W/DANGEROUS WEAPON,009400 4,2,A094004
ASSAULT W/DANGEROUS WEAPON,009501 1,26,A095011
ASSAULT W/DANGEROUS WEAPON,009501 2,9,A095012
ASSAULT W/DANGEROUS WEAPON,009501 3,18,A095013
ASSAULT W/DANGEROUS WEAPON,009503 1,17,A095031
ASSAULT W/DANGEROUS WEAPON,009503 2,2,A095032
ASSAULT W/DANGEROUS WEAPON,009503 3,2,A095033
ASSAULT W/DANGEROUS WEAPON,009504 1,21,A095041
ASSAULT W/DANGEROUS WEAPON,009504 2,14,A095042
ASSAULT W/DANGEROUS WEAPON,009505 1,14,A095051
ASSAULT W/DANGEROUS WEAPON,009505 2,16,A095052
ASSAULT W/DANGEROUS WEAPON,009505 3,28,A095053
ASSAULT W/DANGEROUS WEAPON,009507 1,15,A095071
ASSAULT W/DANGEROUS WEAPON,009508 1,20,A095081
ASSAULT W/DANGEROUS WEAPON,009508 2,9,A095082
ASSAULT W/DANGEROUS WEAPON,009508 3,5,A095083
ASSAULT W/DANGEROUS WEAPON,009509 1,5,A095091
ASSAULT W/DANGEROUS WEAPON,009509 2,6,A095092
ASSAULT W/DANGEROUS WEAPON,009509 3,4,A095093
ASSAULT W/DANGEROUS WEAPON,009601 1,153,A096011
ASSAULT W/DANGEROUS WEAPON,009602 1,128,A096021
ASSAULT W/DANGEROUS WEAPON,009602 2,6,A096022
ASSAULT W/DANGEROUS WEAPON,009603 1,58,A096031
ASSAULT W/DANGEROUS WEAPON,009603 2,92,A096032
ASSAULT W/DANGEROUS WEAPON,009603 3,75,A096033
ASSAULT W/DANGEROUS WEAPON,009604 1,31,A096041
